scientific_name,common_name
streptopelia dusumieri,philippine collared-dove
streptopelia decaocto,eurasian collared-dove
streptopelia xanthocycla,burmese collared-dove
streptopelia roseogrisea,african collared-dove
streptopelia reichenowi,white-winged collared-dove
streptopelia decipiens,mourning collared-dove
streptopelia semitorquata,red-eyed dove
streptopelia capicola,ring-necked dove
streptopelia vinacea,vinaceous dove
streptopelia tranquebarica,red collared-dove
spilopelia chinensis,spotted dove
spilopelia senegalensis,laughing dove
macropygia unchall,barred cuckoo-dove
macropygia phasianella,brown cuckoo-dove
macropygia macassariensis,flores sea cuckoo-dove
macropygia magna,timor cuckoo-dove
macropygia timorlaoensis,tanimbar cuckoo-dove
macropygia amboinensis,amboyna cuckoo-dove
macropygia doreya,sultan's cuckoo-dove
macropygia rufipennis,andaman cuckoo-dove
macropygia tenuirostris,philippine cuckoo-dove
macropygia emiliana,ruddy cuckoo-dove
macropygia cinnamomea,enggano cuckoo-dove
macropygia modiglianii,barusan cuckoo-dove
macropygia nigrirostris,black-billed cuckoo-dove
macropygia mackinlayi,mackinlay's cuckoo-dove
macropygia ruficeps,little cuckoo-dove
reinwardtoena reinwardti,great cuckoo-dove
reinwardtoena browni,pied cuckoo-dove
reinwardtoena crassirostris,crested cuckoo-dove
turacoena manadensis,white-faced cuckoo-dove
turacoena sulaensis,sula cuckoo-dove
turacoena modesta,slaty cuckoo-dove
turtur chalcospilos,emerald-spotted wood-dove
turtur abyssinicus,black-billed wood-dove
turtur afer,blue-spotted wood-dove
turtur tympanistria,tambourine dove
turtur brehmeri,blue-headed wood-dove
oena capensis,namaqua dove
chalcophaps indica,asian emerald dove
chalcophaps longirostris,pacific emerald dove
chalcophaps stephani,stephan's dove
henicophaps albifrons,new guinea bronzewing
henicophaps foersteri,new britain bronzewing
alopecoenas hoedtii,wetar ground dove
alopecoenas stairi,shy ground dove
alopecoenas sanctaecrucis,santa cruz ground dove
alopecoenas salamonis,thick-billed ground dove
alopecoenas ferrugineus,tanna ground dove
alopecoenas beccarii,bronze ground dove
alopecoenas canifrons,palau ground dove
alopecoenas jobiensis,white-bibbed ground dove
alopecoenas rubescens,marquesas ground dove
alopecoenas kubaryi,caroline islands ground dove
alopecoenas erythropterus,polynesian ground dove
alopecoenas xanthonurus,white-throated ground dove
alopecoenas norfolkensis,norfolk ground dove
phaps chalcoptera,common bronzewing
phaps elegans,brush bronzewing
phaps histrionica,flock bronzewing
ocyphaps lophotes,crested pigeon
geophaps plumifera,spinifex pigeon
geophaps scripta,squatter pigeon
geophaps smithii,partridge pigeon
petrophassa rufipennis,chestnut-quilled rock-pigeon
petrophassa albipennis,white-quilled rock-pigeon
leucosarcia melanoleuca,wonga pigeon
geopelia cuneata,diamond dove
geopelia striata,zebra dove
geopelia placida,peaceful dove
geopelia maugeus,barred dove
geopelia humeralis,bar-shouldered dove
columbina inca,inca dove
columbina passerina,common ground dove
columbina minuta,plain-breasted ground dove
columbina talpacoti,ruddy ground dove
columbina buckleyi,ecuadorian ground dove
columbina squammata,scaled dove
columbina picui,picui ground dove
columbina cruziana,croaking ground dove
columbina cyanopis,blue-eyed ground dove
claravis pretiosa,blue ground dove
paraclaravis mondetoura,maroon-chested ground dove
paraclaravis geoffroyi,purple-winged ground dove
metriopelia ceciliae,bare-faced ground dove
metriopelia morenoi,bare-eyed ground dove
metriopelia melanoptera,black-winged ground dove
metriopelia aymara,golden-spotted ground dove
uropelia campestris,long-tailed ground dove
starnoenas cyanocephala,blue-headed quail-dove
geotrygon purpurata,purple quail-dove
geotrygon saphirina,sapphire quail-dove
geotrygon versicolor,crested quail-dove
geotrygon montana,ruddy quail-dove
geotrygon violacea,violaceous quail-dove
geotrygon caniceps,gray-fronted quail-dove
geotrygon leucometopia,white-fronted quail-dove
geotrygon chrysia,key west quail-dove
geotrygon mystacea,bridled quail-dove
leptotrygon veraguensis,olive-backed quail-dove
leptotila verreauxi,white-tipped dove
leptotila jamaicensis,caribbean dove
leptotila cassinii,gray-chested dove
leptotila conoveri,tolima dove
leptotila ochraceiventris,ochre-bellied dove
leptotila plumbeiceps,gray-headed dove
leptotila rufaxilla,gray-fronted dove
leptotila wellsi,grenada dove
leptotila pallida,pallid dove
leptotila megalura,large-tailed dove
zentrygon carrikeri,tuxtla quail-dove
zentrygon costaricensis,buff-fronted quail-dove
zentrygon lawrencii,purplish-backed quail-dove
zentrygon albifacies,white-faced quail-dove
zentrygon frenata,white-throated quail-dove
zentrygon linearis,lined quail-dove
zentrygon chiriquensis,chiriqui quail-dove
zentrygon goldmani,russet-crowned quail-dove
zenaida meloda,west peruvian dove
zenaida asiatica,white-winged dove
zenaida aurita,zenaida dove
zenaida galapagoensis,galapagos dove
zenaida auriculata,eared dove
zenaida macroura,mourning dove
zenaida graysoni,socorro dove
caloenas nicobarica,nicobar pigeon
caloenas maculata,spotted green pigeon
raphus cucullatus,dodo
pezophaps solitaria,rodrigues solitaire
gallicolumba tristigmata,sulawesi ground dove
gallicolumba rufigula,cinnamon ground dove
gallicolumba platenae,mindoro bleeding-heart
gallicolumba keayi,negros bleeding-heart
gallicolumba menagei,sulu bleeding-heart
gallicolumba luzonica,luzon bleeding-heart
gallicolumba crinigera,mindanao bleeding-heart
microgoura meeki,choiseul pigeon
trugon terrestris,thick-billed ground-pigeon
otidiphaps nobilis,pheasant pigeon
goura cristata,western crowned-pigeon
goura sclaterii,sclater's crowned-pigeon
goura scheepmakeri,scheepmaker's crowned-pigeon
goura victoria,victoria crowned-pigeon
didunculus strigirostris,tooth-billed pigeon
phapitreron leucotis,white-eared brown-dove
phapitreron amethystinus,amethyst brown-dove
phapitreron brunneiceps,mindanao brown-dove
phapitreron cinereiceps,tawitawi brown-dove
treron olax,little green-pigeon
treron vernans,pink-necked green-pigeon
treron fulvicollis,cinnamon-headed green-pigeon
treron bicinctus,orange-breasted green-pigeon
treron pompadora,sri lanka green-pigeon
treron affinis,gray-fronted green-pigeon
treron chloropterus,andaman green-pigeon
